K,representation,ARI,NMI,Silhouette
2,Morgan FP,0.002866190313357685,0.02297789472312606,0.08665813950912526
3,Morgan FP,0.007308015426363724,0.043431621683331714,0.07779252299290426
4,Morgan FP,0.0073187165270083305,0.04755944489761299,0.06810275223905732
5,Morgan FP,0.23022030582293837,0.3571212982028919,0.11313301175112271
6,Morgan FP,0.23327943156142075,0.3702219354101143,0.10749392392918938
7,Morgan FP,0.23324962666534602,0.3714123226304967,0.10338810261195103
8,Morgan FP,0.2535115053150861,0.3890460036558008,0.10725080570831426
9,Morgan FP,0.2605982708919937,0.4063391306928479,0.09745480112796691
10,Morgan FP,0.26064589428698626,0.4083722255094727,0.09604603388455835
11,Morgan FP,0.2606562403167592,0.40965537460599416,0.09100931530427599
12,Morgan FP,0.2606932929953714,0.4115424077842111,0.09034107031043274
13,Morgan FP,0.26892492218293634,0.4271918998548072,0.08782240563645483
14,Morgan FP,0.371773516694334,0.4667809369202911,0.10221865403776757
15,Morgan FP,0.38679397659027726,0.4775292667607772,0.10209889556743179
16,Morgan FP,0.38683561385045206,0.47891746508789573,0.10107449594509213
17,Morgan FP,0.4822730198895006,0.5514888416332515,0.1211994630802618
18,Morgan FP,0.482280123249719,0.5521255161464425,0.12000333156353094
19,Morgan FP,0.5099396081047342,0.5839546347880928,0.13110089830172
20,Morgan FP,0.5108776946505785,0.5844826049691704,0.1270224477871255
21,Morgan FP,0.5108593173500158,0.58495379939421,0.12759875281787925
22,Morgan FP,0.5105142081081314,0.5844607822397535,0.12414203818238159
23,Morgan FP,0.5105294464901324,0.5852479462414765,0.12284175836401288
24,Morgan FP,0.5111772333275167,0.5898355902278604,0.12138562955147376
25,Morgan FP,0.517478851058962,0.6015291762649903,0.12210103435403069
2,MACCS Keys,0.00217853031380323,0.01475652508626414,0.184217302163898
3,MACCS Keys,0.002188223763170274,0.019293840355723093,0.1446399974394642
4,MACCS Keys,0.004981915102227429,0.03253548109118427,0.09808753382990677
5,MACCS Keys,0.20436095819338357,0.32593771690382173,0.1924485957264699
6,MACCS Keys,0.20492030743241846,0.327508799208101,0.18191157726641605
7,MACCS Keys,0.29042702591579744,0.40376268000024845,0.21207440493234758
8,MACCS Keys,0.29041058801895286,0.40349133614008115,0.20737461927479744
9,MACCS Keys,0.29043364742503436,0.40503013671443133,0.20285165444549788
10,MACCS Keys,0.2907856063147297,0.40583848593798805,0.19840823217129533
11,MACCS Keys,0.3669762941037648,0.47144883592317277,0.23264986692223114
12,MACCS Keys,0.3773309590448857,0.471966936536268,0.2411326459630266
13,MACCS Keys,0.3932651256296998,0.4896227640351711,0.25503693829874524
14,MACCS Keys,0.39630793482987814,0.49435835172646736,0.2583741796714316
15,MACCS Keys,0.3963042472783622,0.4946512880724715,0.2567108050568541
16,MACCS Keys,0.3985658033976892,0.5017572015152583,0.25693654514219705
17,MACCS Keys,0.39870447524328656,0.5042507619115474,0.2561300714507843
18,MACCS Keys,0.42592109363105385,0.5261122237122093,0.2700351429475126
19,MACCS Keys,0.4387434508731487,0.526227886828327,0.270683511509385
20,MACCS Keys,0.43928960400706873,0.526636980971921,0.2706106781798732
21,MACCS Keys,0.44135989251837077,0.5301232944436862,0.2712550260335508
22,MACCS Keys,0.4413959855463846,0.5314744657924518,0.26793854760538244
23,MACCS Keys,0.440742519208584,0.5304489970087795,0.2641926242412036
24,MACCS Keys,0.4444863252255274,0.5409772917966973,0.269067831281165
25,MACCS Keys,0.4429441107282522,0.5387022904005806,0.2693041878238101
2,RDKit+MACCS,-0.00046752458135424174,0.0011550937829367036,0.9979208560121544
3,RDKit+MACCS,-0.001393126959242591,0.0034519386045324977,0.9974825354674723
4,RDKit+MACCS,-0.0013965970487213937,0.0034500032903526123,0.9968821424723732
5,RDKit+MACCS,-0.0018581219380325417,0.004589942537880486,0.9948871184804332
6,RDKit+MACCS,-0.002317623841562889,0.005724952613460492,0.9928273236622918
7,RDKit+MACCS,-0.00322701730492968,0.007984844225401515,0.9932219670408619
8,RDKit+MACCS,-0.0032305120902205915,0.007980424591679617,0.9921400607884399
9,RDKit+MACCS,-0.0036838749953560686,0.009101004478150555,0.9907239999358721
10,RDKit+MACCS,-0.0050209380551459815,0.012450992365128082,0.9905447804294524
11,RDKit+MACCS,-0.005027977350249143,0.012441613731529856,0.9896547633971571
12,RDKit+MACCS,-0.005031497013508082,0.012434813855144711,0.9886581049545705
13,RDKit+MACCS,-0.005476509062104685,0.013536962648844554,0.9849361155059444
14,RDKit+MACCS,-0.006356629676439993,0.015736432948996296,0.9851130093585933
15,RDKit+MACCS,-0.006360168118056764,0.01572791263138302,0.9831731055269489
16,RDKit+MACCS,-0.008080303854777383,0.020100937366574603,0.9824578416791419
17,RDKit+MACCS,-0.00809455826348531,0.020079415077061354,0.9815099515339991
18,RDKit+MACCS,-0.008098121892464512,0.02006867120616697,0.9803694752975763
19,RDKit+MACCS,-0.0081016855321647,0.020057938826546707,0.9786084826304294
20,RDKit+MACCS,-0.009891949945112308,0.02384551022143693,0.977862143909761
21,RDKit+MACCS,-0.009905264701396656,0.024265964879285947,0.9774675050376981
22,RDKit+MACCS,-0.011276045104229873,0.028653359936369575,0.9743810461197238
23,RDKit+MACCS,-0.011279136405527943,0.029026064310812047,0.97404046030982
24,RDKit+MACCS,-0.011292570785215466,0.02943413461170851,0.9720446973760604
25,RDKit+MACCS,-0.013418130921488561,0.03398465353424158,0.9711584617444421
2,Transformer,0.023270317263291988,0.1254935188067126,0.3359432165896517
3,Transformer,0.00684611402661021,0.13906195799364424,0.24471632119080935
4,Transformer,0.004174422808337044,0.1403883069528144,0.2396704051977901
5,Transformer,0.0044673418448150995,0.15442516880414575,0.19956169560908973
6,Transformer,0.14018831978355517,0.3142592516018088,0.1725030214099963
7,Transformer,0.1408364834977056,0.315209639217504,0.15597218346581954
8,Transformer,0.14420672694925823,0.32249402871506794,0.1449693438892747
9,Transformer,0.14394272436232586,0.3222762778637593,0.13783297283204762
10,Transformer,0.14243892401147254,0.32078374690699285,0.13632179158364313
11,Transformer,0.14135383834369938,0.31953587245834814,0.13321312605904637
12,Transformer,0.14201910709872742,0.32048501472830987,0.12205949990789916
13,Transformer,0.16348100796967122,0.36669340260299016,0.12727128517893313
14,Transformer,0.15855679430294045,0.36575742596342925,0.12031453765453139
15,Transformer,0.16339405936391063,0.37355430633090575,0.11147516645673816
16,Transformer,0.16508853717800523,0.3757297179515509,0.10611647788857567
17,Transformer,0.16572541957747056,0.3793851737599024,0.10359754211213612
18,Transformer,0.1658316963695306,0.37977593952165034,0.10298002188289154
19,Transformer,0.14670768265684989,0.37672464845643683,0.11075399007227409
20,Transformer,0.14626550832030402,0.37604903335165946,0.10773458680093671
21,Transformer,0.15492453160341965,0.38063251400434417,0.09916988265373528
22,Transformer,0.15668615295193086,0.3942412092223835,0.09725562806562477
23,Transformer,0.15753720482100972,0.40633494254150715,0.1018980490936886
24,Transformer,0.1576394028743861,0.4087397501628558,0.10211225725886565
25,Transformer,0.21111764603305938,0.43647321843707954,0.11701930056941451
